Date,Open,High,Low,Close,Volume,Close
2015/2/5,7.28,7.28,7.28,7.28,0,7.28
2015/2/6,17.6,17.6,16.4,16.55,2525000,16.55
2015/2/9,16.55,17.7,16.55,17.7,2923000,17.7
2015/2/10,17.7,18.5,16.7,17.1,2815000,17.1
2015/2/11,17.2,17.75,16.95,17.1,1131000,17.1
2015/2/12,17.7,17.7,17.2,17.4,581000,17.4
2015/2/13,17.7,17.7,17.4,17.55,1035000,17.55
2015/2/16,17.55,17.55,17.55,17.55,0,17.55
2015/2/17,17.55,17.55,17.55,17.55,0,17.55
2015/2/18,17.55,17.55,17.55,17.55,0,17.55
2015/2/19,17.55,17.55,17.55,17.55,0,17.55
2015/2/20,17.55,17.55,17.55,17.55,0,17.55
2015/2/23,17.55,17.55,17.55,17.55,0,17.55
2015/2/24,18.7,18.7,17.6,18.05,1824000,18.05
2015/2/25,18.1,18.2,17.75,17.85,893000,17.85
2015/2/26,17.75,18.1,17.6,18.05,505000,18.05
2015/2/27,18.05,18.05,18.05,18.05,0,18.05
2015/3/2,18.9,19,18.35,18.7,2532000,18.7
2015/3/3,18.7,20,18.7,20,3685000,20
2015/3/4,20.1,21.35,20.05,21.35,4041000,21.35
2015/3/5,21.35,22.1,21.3,21.9,2755000,21.9
2015/3/6,22,22.3,21.05,21.7,2118000,21.7
2015/3/9,22,22.65,22,22.55,2011000,22.55
2015/3/10,22.3,23,22.2,22.3,1702000,22.3
2015/3/11,22.25,22.5,21.9,22.1,1343000,22.1
2015/3/12,22.45,22.5,22,22.15,707000,22.15
2015/3/13,22.15,22.5,22.15,22.3,807000,22.3
2015/3/16,22.5,23.85,22.5,23.85,3759000,23.85
2015/3/17,23.95,24.05,22.5,23.4,2750000,23.4
2015/3/18,23.45,23.75,23.3,23.55,807000,23.55
2015/3/19,23.4,23.95,23.4,23.6,668000,23.6
2015/3/20,23.6,23.75,22.8,23.7,1553000,23.7
2015/3/23,24,25,23.75,24.9,2137000,24.9
2015/3/24,24.9,25.8,24.9,25.55,2324000,25.55
2015/3/25,25.55,26.55,24.6,25.1,3474000,25.1
2015/3/26,24.85,25.5,24.5,25.5,1672000,25.5
2015/3/27,26,26.2,25.3,25.5,1648000,25.5
2015/3/30,26,26,25.15,25.6,1434000,25.6
2015/3/31,25.55,25.8,24.8,25.45,2324000,25.45
2015/4/1,25.5,25.55,25.1,25.35,1536000,25.35
2015/4/2,25.2,25.6,25.2,25.55,1044000,25.55
